alias_id,entity_id,iso_alpha3,alias,normalized_alias,alias_type,match_priority,safe_for_unstructured_text,ambiguity_note
ALIAS_00022,M49_248,ALA,248,248,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00023,M49_008,ALB,Albania,albania,canonical_name,1,True,
ALIAS_00024,M49_008,ALB,Republic of Albania,republic of albania,official_name,2,True,
ALIAS_00025,M49_008,ALB,ALB,alb,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00026,M49_008,ALB,AL,al,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00027,M49_008,ALB,008,008,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00028,M49_020,AND,Andorra,andorra,canonical_name,1,True,
ALIAS_00029,M49_020,AND,Principality of Andorra,principality of andorra,official_name,2,True,
ALIAS_00030,M49_020,AND,AND,and,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00031,M49_020,AND,AD,ad,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00032,M49_020,AND,020,020,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00033,M49_784,ARE,United Arab Emirates,united arab emirates,canonical_name,1,True,
ALIAS_00034,M49_784,ARE,ARE,are,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00035,M49_784,ARE,AE,ae,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00036,M49_784,ARE,784,784,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00037,M49_784,ARE,UAE,uae,curated_alias,1,False,Potentially ambiguous or overly broad; require context-aware matching.
ALIAS_00038,M49_032,ARG,Argentina,argentina,canonical_name,1,True,
ALIAS_00039,M49_032,ARG,Argentine Republic,argentine republic,official_name,2,True,
ALIAS_00040,M49_032,ARG,ARG,arg,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00041,M49_032,ARG,AR,ar,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00042,M49_032,ARG,032,032,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00043,M49_051,ARM,Armenia,armenia,canonical_name,1,True,
ALIAS_00044,M49_051,ARM,Republic of Armenia,republic of armenia,official_name,2,True,
ALIAS_00045,M49_051,ARM,ARM,arm,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00046,M49_051,ARM,AM,am,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00047,M49_051,ARM,051,051,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00048,M49_016,ASM,American Samoa,american samoa,canonical_name,1,True,
ALIAS_00049,M49_016,ASM,ASM,asm,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00050,M49_016,ASM,AS,as,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00051,M49_016,ASM,016,016,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00052,M49_010,ATA,Antarctica,antarctica,canonical_name,1,True,
ALIAS_00053,M49_010,ATA,ATA,ata,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00054,M49_010,ATA,AQ,aq,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00055,M49_010,ATA,010,010,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00056,M49_260,ATF,French Southern Territories,french southern territories,canonical_name,1,True,
ALIAS_00057,M49_260,ATF,ATF,atf,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00058,M49_260,ATF,TF,tf,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00059,M49_260,ATF,260,260,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00060,M49_028,ATG,Antigua and Barbuda,antigua and barbuda,canonical_name,1,True,
ALIAS_00061,M49_028,ATG,ATG,atg,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00062,M49_028,ATG,AG,ag,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00063,M49_028,ATG,028,028,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00064,M49_036,AUS,Australia,australia,canonical_name,1,True,
ALIAS_00065,M49_036,AUS,AUS,aus,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00066,M49_036,AUS,AU,au,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00067,M49_036,AUS,036,036,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00068,M49_040,AUT,Austria,austria,canonical_name,1,True,
ALIAS_00069,M49_040,AUT,Republic of Austria,republic of austria,official_name,2,True,
ALIAS_00070,M49_040,AUT,AUT,aut,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00071,M49_040,AUT,AT,at,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00072,M49_040,AUT,040,040,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00073,M49_031,AZE,Azerbaijan,azerbaijan,canonical_name,1,True,
ALIAS_00074,M49_031,AZE,Republic of Azerbaijan,republic of azerbaijan,official_name,2,True,
ALIAS_00075,M49_031,AZE,AZE,aze,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00076,M49_031,AZE,AZ,az,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00077,M49_031,AZE,031,031,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00078,M49_108,BDI,Burundi,burundi,canonical_name,1,True,
ALIAS_00079,M49_108,BDI,Republic of Burundi,republic of burundi,official_name,2,True,
ALIAS_00080,M49_108,BDI,BDI,bdi,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00081,M49_108,BDI,BI,bi,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00082,M49_108,BDI,108,108,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00083,M49_056,BEL,Belgium,belgium,canonical_name,1,True,
ALIAS_00084,M49_056,BEL,Kingdom of Belgium,kingdom of belgium,official_name,2,True,
ALIAS_00085,M49_056,BEL,BEL,bel,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00086,M49_056,BEL,BE,be,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00087,M49_056,BEL,056,056,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00088,M49_204,BEN,Benin,benin,canonical_name,1,True,
ALIAS_00089,M49_204,BEN,Republic of Benin,republic of benin,official_name,2,True,
ALIAS_00090,M49_204,BEN,BEN,ben,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00091,M49_204,BEN,BJ,bj,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00092,M49_204,BEN,204,204,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00093,M49_535,BES,"Bonaire, Sint Eustatius and Saba",bonaire sint eustatius and saba,canonical_name,1,True,
ALIAS_00094,M49_535,BES,"Bonaire, Sint Eustatius and Saba",bonaire sint eustatius and saba,official_name,2,True,
ALIAS_00095,M49_535,BES,BES,bes,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00096,M49_535,BES,BQ,bq,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00097,M49_535,BES,535,535,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00098,M49_854,BFA,Burkina Faso,burkina faso,canonical_name,1,True,
ALIAS_00099,M49_854,BFA,BFA,bfa,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00100,M49_854,BFA,BF,bf,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00101,M49_854,BFA,854,854,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00102,M49_050,BGD,Bangladesh,bangladesh,canonical_name,1,True,
ALIAS_00103,M49_050,BGD,People's Republic of Bangladesh,people s republic of bangladesh,official_name,2,True,
ALIAS_00104,M49_050,BGD,BGD,bgd,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00105,M49_050,BGD,BD,bd,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00106,M49_050,BGD,050,050,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00107,M49_100,BGR,Bulgaria,bulgaria,canonical_name,1,True,
ALIAS_00108,M49_100,BGR,Republic of Bulgaria,republic of bulgaria,official_name,2,True,
ALIAS_00109,M49_100,BGR,BGR,bgr,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00110,M49_100,BGR,BG,bg,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00111,M49_100,BGR,100,100,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00112,M49_048,BHR,Bahrain,bahrain,canonical_name,1,True,
ALIAS_00113,M49_048,BHR,Kingdom of Bahrain,kingdom of bahrain,official_name,2,True,
ALIAS_00114,M49_048,BHR,BHR,bhr,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00115,M49_048,BHR,BH,bh,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00116,M49_048,BHR,048,048,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00117,M49_044,BHS,Bahamas,bahamas,canonical_name,1,True,
ALIAS_00118,M49_044,BHS,Commonwealth of the Bahamas,commonwealth of the bahamas,official_name,2,True,
ALIAS_00119,M49_044,BHS,BHS,bhs,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00120,M49_044,BHS,BS,bs,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00121,M49_044,BHS,044,044,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00122,M49_070,BIH,Bosnia and Herzegovina,bosnia and herzegovina,canonical_name,1,True,
ALIAS_00123,M49_070,BIH,Republic of Bosnia and Herzegovina,republic of bosnia and herzegovina,official_name,2,True,
ALIAS_00124,M49_070,BIH,BIH,bih,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00125,M49_070,BIH,BA,ba,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00126,M49_070,BIH,070,070,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00127,M49_652,BLM,Saint Barthélemy,saint barthelemy,canonical_name,1,True,
ALIAS_00128,M49_652,BLM,BLM,blm,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00129,M49_652,BLM,BL,bl,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00130,M49_652,BLM,652,652,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00131,M49_112,BLR,Belarus,belarus,canonical_name,1,True,
ALIAS_00132,M49_112,BLR,Republic of Belarus,republic of belarus,official_name,2,True,
ALIAS_00133,M49_112,BLR,BLR,blr,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00134,M49_112,BLR,BY,by,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00135,M49_112,BLR,112,112,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00136,M49_084,BLZ,Belize,belize,canonical_name,1,True,
ALIAS_00137,M49_084,BLZ,BLZ,blz,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00138,M49_084,BLZ,BZ,bz,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00139,M49_084,BLZ,084,084,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00140,M49_060,BMU,Bermuda,bermuda,canonical_name,1,True,
ALIAS_00141,M49_060,BMU,BMU,bmu,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00142,M49_060,BMU,BM,bm,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00143,M49_060,BMU,060,060,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00144,M49_068,BOL,Bolivia (Plurinational State of),bolivia plurinational state of,canonical_name,1,True,
ALIAS_00145,M49_068,BOL,"Bolivia, Plurinational State of",bolivia plurinational state of,iso_name,2,True,
ALIAS_00146,M49_068,BOL,Plurinational State of Bolivia,plurinational state of bolivia,official_name,2,True,
ALIAS_00147,M49_068,BOL,Bolivia,bolivia,common_name,2,True,
ALIAS_00148,M49_068,BOL,BOL,bol,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00149,M49_068,BOL,BO,bo,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00150,M49_068,BOL,068,068,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00151,M49_068,BOL,Bolivia,bolivia,curated_alias,1,True,
ALIAS_00152,M49_076,BRA,Brazil,brazil,canonical_name,1,True,
ALIAS_00153,M49_076,BRA,Federative Republic of Brazil,federative republic of brazil,official_name,2,True,
ALIAS_00154,M49_076,BRA,BRA,bra,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00155,M49_076,BRA,BR,br,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00156,M49_076,BRA,076,076,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00157,M49_052,BRB,Barbados,barbados,canonical_name,1,True,
ALIAS_00158,M49_052,BRB,BRB,brb,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00159,M49_052,BRB,BB,bb,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00160,M49_052,BRB,052,052,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00161,M49_096,BRN,Brunei Darussalam,brunei darussalam,canonical_name,1,True,
ALIAS_00162,M49_096,BRN,BRN,brn,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00163,M49_096,BRN,BN,bn,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00164,M49_096,BRN,096,096,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00165,M49_096,BRN,Brunei,brunei,curated_alias,1,True,
ALIAS_00166,M49_064,BTN,Bhutan,bhutan,canonical_name,1,True,
ALIAS_00167,M49_064,BTN,Kingdom of Bhutan,kingdom of bhutan,official_name,2,True,
ALIAS_00168,M49_064,BTN,BTN,btn,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00169,M49_064,BTN,BT,bt,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00170,M49_064,BTN,064,064,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00171,M49_074,BVT,Bouvet Island,bouvet island,canonical_name,1,True,
ALIAS_00172,M49_074,BVT,BVT,bvt,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00173,M49_074,BVT,BV,bv,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00174,M49_074,BVT,074,074,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00175,M49_072,BWA,Botswana,botswana,canonical_name,1,True,
ALIAS_00176,M49_072,BWA,Republic of Botswana,republic of botswana,official_name,2,True,
ALIAS_00177,M49_072,BWA,BWA,bwa,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00178,M49_072,BWA,BW,bw,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00179,M49_072,BWA,072,072,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00180,M49_140,CAF,Central African Republic,central african republic,canonical_name,1,True,
ALIAS_00181,M49_140,CAF,CAF,caf,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00182,M49_140,CAF,CF,cf,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00183,M49_140,CAF,140,140,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00184,M49_124,CAN,Canada,canada,canonical_name,1,True,
ALIAS_00185,M49_124,CAN,CAN,can,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00186,M49_124,CAN,CA,ca,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00187,M49_124,CAN,124,124,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00188,M49_166,CCK,Cocos (Keeling) Islands,cocos keeling islands,canonical_name,1,True,
ALIAS_00189,M49_166,CCK,CCK,cck,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00190,M49_166,CCK,CC,cc,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00191,M49_166,CCK,166,166,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00192,M49_756,CHE,Switzerland,switzerland,canonical_name,1,True,
ALIAS_00193,M49_756,CHE,Swiss Confederation,swiss confederation,official_name,2,True,
ALIAS_00194,M49_756,CHE,CHE,che,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00195,M49_756,CHE,CH,ch,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00196,M49_756,CHE,756,756,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00197,M49_152,CHL,Chile,chile,canonical_name,1,True,
ALIAS_00198,M49_152,CHL,Republic of Chile,republic of chile,official_name,2,True,
ALIAS_00199,M49_152,CHL,CHL,chl,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00200,M49_152,CHL,CL,cl,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00201,M49_152,CHL,152,152,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00202,M49_156,CHN,China,china,canonical_name,1,True,
ALIAS_00203,M49_156,CHN,People's Republic of China,people s republic of china,official_name,2,True,
ALIAS_00204,M49_156,CHN,CHN,chn,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00205,M49_156,CHN,CN,cn,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00206,M49_156,CHN,156,156,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00207,M49_156,CHN,People's Republic of China,people s republic of china,curated_alias,1,True,
ALIAS_00208,M49_156,CHN,PRC,prc,curated_alias,1,False,Potentially ambiguous or overly broad; require context-aware matching.
ALIAS_00209,M49_384,CIV,Côte d’Ivoire,cote d ivoire,canonical_name,1,True,
ALIAS_00210,M49_384,CIV,Côte d'Ivoire,cote d ivoire,iso_name,2,True,
ALIAS_00211,M49_384,CIV,Republic of Côte d'Ivoire,republic of cote d ivoire,official_name,2,True,
ALIAS_00212,M49_384,CIV,CIV,civ,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00213,M49_384,CIV,CI,ci,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00214,M49_384,CIV,384,384,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00215,M49_384,CIV,Cote d'Ivoire,cote d ivoire,curated_alias,1,True,
ALIAS_00216,M49_384,CIV,Ivory Coast,ivory coast,curated_alias,1,True,
ALIAS_00217,M49_120,CMR,Cameroon,cameroon,canonical_name,1,True,
ALIAS_00218,M49_120,CMR,Republic of Cameroon,republic of cameroon,official_name,2,True,
ALIAS_00219,M49_120,CMR,CMR,cmr,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00220,M49_120,CMR,CM,cm,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00221,M49_120,CMR,120,120,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00222,M49_180,COD,Democratic Republic of the Congo,democratic republic of the congo,canonical_name,1,True,
ALIAS_00223,M49_180,COD,"Congo, The Democratic Republic of the",congo the democratic republic of the,iso_name,2,True,
ALIAS_00224,M49_180,COD,COD,cod,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00225,M49_180,COD,CD,cd,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00226,M49_180,COD,180,180,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00227,M49_180,COD,DR Congo,dr congo,curated_alias,1,True,
ALIAS_00228,M49_180,COD,DRC,drc,curated_alias,1,False,Potentially ambiguous or overly broad; require context-aware matching.
ALIAS_00229,M49_180,COD,Congo-Kinshasa,congo kinshasa,curated_alias,1,True,
ALIAS_00230,M49_178,COG,Congo,congo,canonical_name,1,True,
ALIAS_00231,M49_178,COG,Republic of the Congo,republic of the congo,official_name,2,True,
ALIAS_00232,M49_178,COG,COG,cog,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00233,M49_178,COG,CG,cg,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00234,M49_178,COG,178,178,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00235,M49_178,COG,Republic of the Congo,republic of the congo,curated_alias,1,True,
ALIAS_00236,M49_178,COG,Congo-Brazzaville,congo brazzaville,curated_alias,1,True,
ALIAS_00237,M49_184,COK,Cook Islands,cook islands,canonical_name,1,True,
ALIAS_00238,M49_184,COK,COK,cok,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00239,M49_184,COK,CK,ck,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00240,M49_184,COK,184,184,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00241,M49_170,COL,Colombia,colombia,canonical_name,1,True,
ALIAS_00242,M49_170,COL,Republic of Colombia,republic of colombia,official_name,2,True,
ALIAS_00243,M49_170,COL,COL,col,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00244,M49_170,COL,CO,co,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00245,M49_170,COL,170,170,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00246,M49_174,COM,Comoros,comoros,canonical_name,1,True,
ALIAS_00247,M49_174,COM,Union of the Comoros,union of the comoros,official_name,2,True,
ALIAS_00248,M49_174,COM,COM,com,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00249,M49_174,COM,KM,km,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00250,M49_174,COM,174,174,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00251,M49_132,CPV,Cabo Verde,cabo verde,canonical_name,1,True,
ALIAS_00252,M49_132,CPV,Republic of Cabo Verde,republic of cabo verde,official_name,2,True,
ALIAS_00253,M49_132,CPV,CPV,cpv,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00254,M49_132,CPV,CV,cv,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00255,M49_132,CPV,132,132,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00256,M49_132,CPV,Cape Verde,cape verde,curated_alias,1,True,
ALIAS_00257,M49_188,CRI,Costa Rica,costa rica,canonical_name,1,True,
ALIAS_00258,M49_188,CRI,Republic of Costa Rica,republic of costa rica,official_name,2,True,
ALIAS_00259,M49_188,CRI,CRI,cri,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00260,M49_188,CRI,CR,cr,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00261,M49_188,CRI,188,188,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00262,M49_192,CUB,Cuba,cuba,canonical_name,1,True,
ALIAS_00263,M49_192,CUB,Republic of Cuba,republic of cuba,official_name,2,True,
ALIAS_00264,M49_192,CUB,CUB,cub,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00265,M49_192,CUB,CU,cu,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00266,M49_192,CUB,192,192,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00267,M49_531,CUW,Curaçao,curacao,canonical_name,1,True,
ALIAS_00268,M49_531,CUW,Curaçao,curacao,official_name,2,True,
ALIAS_00269,M49_531,CUW,CUW,cuw,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00270,M49_531,CUW,CW,cw,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00271,M49_531,CUW,531,531,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00272,M49_162,CXR,Christmas Island,christmas island,canonical_name,1,True,
ALIAS_00273,M49_162,CXR,CXR,cxr,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00274,M49_162,CXR,CX,cx,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00275,M49_162,CXR,162,162,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00276,M49_136,CYM,Cayman Islands,cayman islands,canonical_name,1,True,
ALIAS_00277,M49_136,CYM,CYM,cym,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00278,M49_136,CYM,KY,ky,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00279,M49_136,CYM,136,136,m49_code,2,False,Numeric code; use only in structured fields.
